Date,Bar Name,Brand Name,consumed_ml,purchase_ml,opening_balance_ml,closing_balance_ml,n_transactions,is_observed_day,dayofweek,is_weekend,Alcohol Type
2023-01-01,Anderson's Bar,Absolut,0.0,0.0,,,0,False,6,1,Vodka
2023-01-02,Anderson's Bar,Absolut,118.62,0.0,1309.92,1191.3,1,True,0,0,Vodka
2023-01-03,Anderson's Bar,Absolut,0.0,0.0,,,0,False,1,0,Vodka
2023-01-04,Anderson's Bar,Absolut,0.0,0.0,,,0,False,2,0,Vodka
2023-01-05,Anderson's Bar,Absolut,463.2,0.0,1191.3,728.1,1,True,3,0,Vodka
2023-01-06,Anderson's Bar,Absolut,453.02,0.0,728.1,275.08,1,True,4,1,Vodka
2023-01-07,Anderson's Bar,Absolut,0.0,0.0,,,0,False,5,1,Vodka
2023-01-08,Anderson's Bar,Absolut,275.08,0.0,275.08,1.70530256582424e-13,1,True,6,1,Vodka
2023-01-09,Anderson's Bar,Absolut,0.0,0.0,,,0,False,0,0,Vodka
2023-01-10,Anderson's Bar,Absolut,0.0,0.0,,,0,False,1,0,Vodka
2023-01-11,Anderson's Bar,Absolut,0.0,0.0,1.70530256582424e-13,1.70530256582424e-13,1,True,2,0,Vodka
2023-01-12,Anderson's Bar,Absolut,0.0,0.0,,,0,False,3,0,Vodka
2023-01-13,Anderson's Bar,Absolut,0.0,0.0,,,0,False,4,1,Vodka
2023-01-14,Anderson's Bar,Absolut,0.0,0.0,,,0,False,5,1,Vodka
2023-01-15,Anderson's Bar,Absolut,0.0,0.0,,,0,False,6,1,Vodka
2023-01-16,Anderson's Bar,Absolut,0.0,0.0,,,0,False,0,0,Vodka
2023-01-17,Anderson's Bar,Absolut,0.0,0.0,,,0,False,1,0,Vodka
2023-01-18,Anderson's Bar,Absolut,0.0,0.0,,,0,False,2,0,Vodka
2023-01-19,Anderson's Bar,Absolut,0.0,0.0,,,0,False,3,0,Vodka
2023-01-20,Anderson's Bar,Absolut,0.0,0.0,,,0,False,4,1,Vodka
2023-01-21,Anderson's Bar,Absolut,0.0,0.0,,,0,False,5,1,Vodka
