Bar Name,Brand Name,abc_class,series_class,lead_time_days,service_level,z_score,avg_forecast_demand_per_day_ml,forecast_rmse_ml,lead_time_demand_ml,safety_stock_ml,par_level_ml,reorder_point_ml
Brown's Bar,Grey Goose,A,intermittent-volatile,2,95%,1.645,94.3,216.3,188.7,503.1,691.8,691.8
Anderson's Bar,Jim Beam,A,intermittent-stable,2,95%,1.645,95.7,206.3,191.3,480.0,671.3,671.3
Thomas's Bar,Grey Goose,A,intermittent-stable,2,95%,1.645,103.5,192.1,207.1,446.8,653.9,653.9
Brown's Bar,Jameson,A,intermittent-volatile,2,95%,1.645,88.3,203.4,176.7,473.1,649.7,649.7
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,2,95%,1.645,99.9,192.3,199.8,447.4,647.1,647.1
Brown's Bar,Yellow Tail,A,intermittent-volatile,2,95%,1.645,79.0,207.7,157.9,483.1,641.0,641.0
Taylor's Bar,Jim Beam,A,intermittent-volatile,2,95%,1.645,77.9,203.6,155.7,473.6,629.3,629.3
Taylor's Bar,Smirnoff,A,intermittent-seasonal,2,95%,1.645,86.7,194.5,173.4,452.4,625.8,625.8
Taylor's Bar,Sutter Home,B,intermittent-volatile,2,95%,1.645,69.3,206.7,138.7,480.9,619.6,619.6
Brown's Bar,Coors,B,intermittent-seasonal,2,95%,1.645,69.5,202.4,139.0,470.9,609.8,609.8
Anderson's Bar,Smirnoff,A,intermittent-volatile,2,95%,1.645,74.4,197.5,148.9,459.4,608.3,608.3
Johnson's Bar,Malibu,A,intermittent-seasonal,2,95%,1.645,87.9,184.3,175.9,428.8,604.6,604.6
Anderson's Bar,Jack Daniels,A,intermittent-volatile,2,95%,1.645,76.4,192.7,152.7,448.2,600.9,600.9
Johnson's Bar,Grey Goose,A,intermittent-volatile,2,95%,1.645,71.1,196.9,142.2,458.0,600.1,600.1
Thomas's Bar,Bacardi,A,intermittent-stable,2,95%,1.645,75.0,191.7,150.0,445.9,595.9,595.9
Brown's Bar,Jim Beam,A,intermittent-stable,2,95%,1.645,77.9,187.2,155.8,435.4,591.3,591.3
Anderson's Bar,Sutter Home,A,intermittent-volatile,2,95%,1.645,69.7,194.2,139.3,451.8,591.2,591.2
Smith's Bar,Sutter Home,A,intermittent-stable,2,95%,1.645,88.8,170.5,177.7,396.5,574.2,574.2
Taylor's Bar,Grey Goose,A,intermittent-stable,2,95%,1.645,81.3,173.9,162.7,404.6,567.3,567.3
Smith's Bar,Grey Goose,A,intermittent-seasonal,2,95%,1.645,81.4,173.4,162.7,403.4,566.2,566.2
Thomas's Bar,Smirnoff,A,intermittent-stable,2,95%,1.645,66.4,183.1,132.9,425.9,558.8,558.8
Johnson's Bar,Heineken,A,intermittent-volatile,2,95%,1.645,74.7,174.4,149.5,405.6,555.1,555.1
Smith's Bar,Yellow Tail,A,intermittent-stable,2,95%,1.645,69.0,178.5,138.1,415.3,553.4,553.4
Taylor's Bar,Jameson,A,intermittent-volatile,2,95%,1.645,68.4,176.3,136.8,410.2,547.0,547.0
Johnson's Bar,Yellow Tail,A,intermittent-volatile,2,95%,1.645,83.2,162.9,166.4,379.0,545.4,545.4
Johnson's Bar,Jim Beam,B,intermittent-stable,2,95%,1.645,77.6,161.8,155.3,376.4,531.7,531.7
Taylor's Bar,Captain Morgan,A,intermittent-volatile,2,95%,1.645,60.9,174.5,121.7,405.9,527.6,527.6
Brown's Bar,Malibu,A,intermittent-volatile,2,95%,1.645,67.2,166.9,134.4,388.2,522.6,522.6
Smith's Bar,Jameson,A,intermittent-volatile,2,95%,1.645,70.3,162.3,140.6,377.5,518.1,518.1
Taylor's Bar,Barefoot,A,intermittent-volatile,2,95%,1.645,66.6,165.4,133.2,384.8,518.0,518.0
Brown's Bar,Smirnoff,B,intermittent-seasonal,2,95%,1.645,68.1,162.4,136.2,377.9,514.1,514.1
Anderson's Bar,Captain Morgan,A,intermittent-seasonal,2,95%,1.645,78.2,151.9,156.4,353.4,509.8,509.8
Johnson's Bar,Bacardi,A,intermittent-stable,2,95%,1.645,64.0,163.8,128.1,381.0,509.1,509.1
Taylor's Bar,Absolut,A,intermittent-stable,2,95%,1.645,60.2,165.1,120.3,384.1,504.4,504.4
Brown's Bar,Bacardi,A,intermittent-stable,2,95%,1.645,68.8,154.6,137.6,359.6,497.2,497.2
Smith's Bar,Bacardi,A,intermittent-stable,2,95%,1.645,70.1,153.0,140.3,355.9,496.1,496.1
Smith's Bar,Smirnoff,B,intermittent-volatile,2,95%,1.645,62.3,159.5,124.6,371.2,495.8,495.8
Smith's Bar,Barefoot,A,intermittent-stable,2,95%,1.645,58.1,160.8,116.1,374.0,490.1,490.1
Johnson's Bar,Miller,B,intermittent-volatile,2,95%,1.645,62.8,156.5,125.6,364.1,489.7,489.7
Johnson's Bar,Captain Morgan,A,intermittent-stable,2,95%,1.645,67.9,151.7,135.7,352.9,488.7,488.7
Johnson's Bar,Absolut,A,intermittent-seasonal,2,95%,1.645,63.4,155.5,126.8,361.7,488.4,488.4
Smith's Bar,Heineken,B,intermittent-stable,2,95%,1.645,56.0,159.6,112.1,371.4,483.4,483.4
Johnson's Bar,Sutter Home,A,intermittent-stable,2,95%,1.645,56.2,159.0,112.4,369.8,482.3,482.3
Taylor's Bar,Malibu,A,intermittent-volatile,2,95%,1.645,62.1,153.3,124.3,356.7,481.0,481.0
Thomas's Bar,Barefoot,A,intermittent-stable,2,95%,1.645,65.6,150.3,131.1,349.5,480.7,480.7
Thomas's Bar,Captain Morgan,A,intermittent-volatile,2,95%,1.645,60.5,148.9,121.0,346.5,467.5,467.5
Anderson's Bar,Barefoot,A,intermittent-stable,2,95%,1.645,60.5,148.3,121.0,344.9,465.9,465.9
Smith's Bar,Absolut,A,intermittent-volatile,2,95%,1.645,66.7,142.9,133.4,332.5,465.9,465.9
Brown's Bar,Barefoot,A,intermittent-seasonal,2,95%,1.645,54.8,152.8,109.5,355.6,465.1,465.1
Johnson's Bar,Jack Daniels,A,intermittent-volatile,2,95%,1.645,51.5,154.6,102.9,359.6,462.5,462.5
Smith's Bar,Malibu,A,intermittent-volatile,2,95%,1.645,52.4,152.9,104.9,355.6,460.5,460.5
Anderson's Bar,Bacardi,A,intermittent-stable,2,95%,1.645,51.2,153.1,102.4,356.1,458.5,458.5
Thomas's Bar,Jim Beam,A,intermittent-stable,2,95%,1.645,58.0,147.2,116.0,342.4,458.4,458.4
Johnson's Bar,Coors,A,intermittent-volatile,2,95%,1.645,54.9,148.6,109.8,345.6,455.4,455.4
Thomas's Bar,Budweiser,B,intermittent-volatile,2,95%,1.645,58.9,144.3,117.8,335.7,453.4,453.4
Anderson's Bar,Absolut,C,intermittent-stable,2,95%,1.645,58.8,137.7,117.6,320.4,438.0,438.0
Anderson's Bar,Yellow Tail,A,intermittent-volatile,2,95%,1.645,56.7,138.4,113.4,322.0,435.4,435.4
Smith's Bar,Budweiser,C,intermittent-seasonal,2,95%,1.645,46.3,146.5,92.7,340.8,433.5,433.5
Anderson's Bar,Grey Goose,A,intermittent-stable,2,95%,1.645,49.7,143.5,99.4,333.9,433.3,433.3
Taylor's Bar,Jack Daniels,A,intermittent-volatile,2,95%,1.645,49.6,141.2,99.2,328.5,427.8,427.8
Anderson's Bar,Coors,A,intermittent-seasonal,2,95%,1.645,49.8,140.9,99.6,327.8,427.4,427.4
Thomas's Bar,Miller,A,intermittent-volatile,2,95%,1.645,40.9,144.2,81.8,335.6,417.4,417.4
Anderson's Bar,Jameson,A,intermittent-seasonal,2,95%,1.645,46.6,136.5,93.3,317.6,410.9,410.9
Thomas's Bar,Jack Daniels,A,intermittent-volatile,2,95%,1.645,45.6,135.8,91.3,316.0,407.2,407.2
Anderson's Bar,Heineken,B,intermittent-seasonal,2,95%,1.645,34.8,141.2,69.7,328.6,398.2,398.2
Taylor's Bar,Bacardi,B,intermittent-volatile,2,95%,1.645,33.1,142.5,66.1,331.5,397.7,397.7
Thomas's Bar,Absolut,A,intermittent-seasonal,2,95%,1.645,51.6,125.5,103.2,291.9,395.1,395.1
Johnson's Bar,Budweiser,A,intermittent-seasonal,2,95%,1.645,39.6,134.4,79.1,312.7,391.8,391.8
Johnson's Bar,Jameson,B,intermittent-volatile,2,95%,1.645,45.8,128.9,91.6,299.8,391.4,391.4
Thomas's Bar,Malibu,A,intermittent-seasonal,2,95%,1.645,46.1,126.9,92.1,295.1,387.3,387.3
Brown's Bar,Sutter Home,A,intermittent-volatile,2,95%,1.645,48.5,123.9,96.9,288.3,385.3,385.3
Johnson's Bar,Smirnoff,A,intermittent-stable,2,95%,1.645,42.8,128.7,85.6,299.3,384.9,384.9
Brown's Bar,Heineken,A,intermittent-stable,2,95%,1.645,37.7,132.9,75.4,309.1,384.5,384.5
Smith's Bar,Jim Beam,A,intermittent-stable,2,95%,1.645,46.0,123.5,91.9,287.3,379.2,379.2
Smith's Bar,Miller,A,intermittent-stable,2,95%,1.645,45.0,121.7,90.1,283.2,373.3,373.3
Brown's Bar,Budweiser,B,intermittent-stable,2,95%,1.645,34.5,128.5,68.9,298.9,367.8,367.8
Anderson's Bar,Miller,A,intermittent-volatile,2,95%,1.645,34.8,128.1,69.6,297.9,367.6,367.6
Taylor's Bar,Miller,B,intermittent-seasonal,2,95%,1.645,30.5,130.2,61.0,303.0,363.9,363.9
Smith's Bar,Captain Morgan,A,intermittent-volatile,2,95%,1.645,34.3,126.6,68.5,294.5,363.0,363.0
Taylor's Bar,Yellow Tail,B,intermittent-stable,2,95%,1.645,35.7,123.4,71.4,287.2,358.6,358.6
Smith's Bar,Coors,B,intermittent-stable,2,95%,1.645,35.6,116.7,71.2,271.4,342.6,342.6
Thomas's Bar,Sutter Home,C,intermittent-stable,2,95%,1.645,32.6,118.6,65.2,276.0,341.2,341.2
Smith's Bar,Jack Daniels,A,intermittent-stable,2,95%,1.645,33.2,118.0,66.3,274.5,340.9,340.9
Brown's Bar,Absolut,A,intermittent-stable,2,95%,1.645,37.4,112.1,74.8,260.7,335.6,335.6
Taylor's Bar,Coors,B,intermittent-volatile,2,95%,1.645,35.7,110.7,71.5,257.6,329.1,329.1
Thomas's Bar,Coors,C,intermittent-stable,2,95%,1.645,25.5,116.9,51.0,272.0,322.9,322.9
