Bar Name,Brand Name,abc_class,series_class,lead_time_days,service_level,z_score,avg_forecast_demand_per_day_ml,forecast_rmse_ml,lead_time_demand_ml,safety_stock_ml,par_level_ml,reorder_point_ml
Anderson's Bar,Absolut,C,intermittent-stable,2,90%,1.282,58.8,137.7,117.6,249.7,367.3,367.3
Anderson's Bar,Absolut,C,intermittent-stable,2,95%,1.645,58.8,137.7,117.6,320.4,438.0,438.0
Anderson's Bar,Absolut,C,intermittent-stable,2,99%,2.326,58.8,137.7,117.6,453.0,570.6,570.6
Anderson's Bar,Absolut,C,intermittent-stable,3,90%,1.282,58.8,137.7,176.4,305.8,482.2,482.2
Anderson's Bar,Absolut,C,intermittent-stable,3,95%,1.645,58.8,137.7,176.4,392.4,568.8,568.8
Anderson's Bar,Absolut,C,intermittent-stable,3,99%,2.326,58.8,137.7,176.4,554.8,731.2,731.2
Anderson's Bar,Absolut,C,intermittent-stable,5,90%,1.282,58.8,137.7,294.0,394.8,688.8,688.8
Anderson's Bar,Absolut,C,intermittent-stable,5,95%,1.645,58.8,137.7,294.0,506.6,800.6,800.6
Anderson's Bar,Absolut,C,intermittent-stable,5,99%,2.326,58.8,137.7,294.0,716.3,1010.3,1010.3
Brown's Bar,Coors,B,intermittent-seasonal,2,90%,1.282,69.5,202.4,139.0,367.0,505.9,505.9
Brown's Bar,Coors,B,intermittent-seasonal,2,95%,1.645,69.5,202.4,139.0,470.9,609.8,609.8
Brown's Bar,Coors,B,intermittent-seasonal,2,99%,2.326,69.5,202.4,139.0,665.8,804.8,804.8
Brown's Bar,Coors,B,intermittent-seasonal,3,90%,1.282,69.5,202.4,208.4,449.4,657.9,657.9
Brown's Bar,Coors,B,intermittent-seasonal,3,95%,1.645,69.5,202.4,208.4,576.7,785.1,785.1
Brown's Bar,Coors,B,intermittent-seasonal,3,99%,2.326,69.5,202.4,208.4,815.4,1023.9,1023.9
Brown's Bar,Coors,B,intermittent-seasonal,5,90%,1.282,69.5,202.4,347.4,580.2,927.6,927.6
Brown's Bar,Coors,B,intermittent-seasonal,5,95%,1.645,69.5,202.4,347.4,744.5,1091.9,1091.9
Brown's Bar,Coors,B,intermittent-seasonal,5,99%,2.326,69.5,202.4,347.4,1052.7,1400.1,1400.1
Brown's Bar,Grey Goose,A,intermittent-volatile,2,90%,1.282,94.3,216.3,188.7,392.1,580.8,580.8
Brown's Bar,Grey Goose,A,intermittent-volatile,2,95%,1.645,94.3,216.3,188.7,503.1,691.8,691.8
Brown's Bar,Grey Goose,A,intermittent-volatile,2,99%,2.326,94.3,216.3,188.7,711.4,900.1,900.1
Brown's Bar,Grey Goose,A,intermittent-volatile,3,90%,1.282,94.3,216.3,283.0,480.2,763.2,763.2
Brown's Bar,Grey Goose,A,intermittent-volatile,3,95%,1.645,94.3,216.3,283.0,616.2,899.2,899.2
Brown's Bar,Grey Goose,A,intermittent-volatile,3,99%,2.326,94.3,216.3,283.0,871.3,1154.3,1154.3
Brown's Bar,Grey Goose,A,intermittent-volatile,5,90%,1.282,94.3,216.3,471.6,620.0,1091.6,1091.6
Brown's Bar,Grey Goose,A,intermittent-volatile,5,95%,1.645,94.3,216.3,471.6,795.5,1267.1,1267.1
Brown's Bar,Grey Goose,A,intermittent-volatile,5,99%,2.326,94.3,216.3,471.6,1124.8,1596.5,1596.5
Johnson's Bar,Jim Beam,B,intermittent-stable,2,90%,1.282,77.6,161.8,155.3,293.4,448.7,448.7
Johnson's Bar,Jim Beam,B,intermittent-stable,2,95%,1.645,77.6,161.8,155.3,376.4,531.7,531.7
Johnson's Bar,Jim Beam,B,intermittent-stable,2,99%,2.326,77.6,161.8,155.3,532.3,687.6,687.6
Johnson's Bar,Jim Beam,B,intermittent-stable,3,90%,1.282,77.6,161.8,232.9,359.3,592.2,592.2
Johnson's Bar,Jim Beam,B,intermittent-stable,3,95%,1.645,77.6,161.8,232.9,461.0,694.0,694.0
Johnson's Bar,Jim Beam,B,intermittent-stable,3,99%,2.326,77.6,161.8,232.9,651.9,884.9,884.9
Johnson's Bar,Jim Beam,B,intermittent-stable,5,90%,1.282,77.6,161.8,388.2,463.9,852.1,852.1
Johnson's Bar,Jim Beam,B,intermittent-stable,5,95%,1.645,77.6,161.8,388.2,595.2,983.4,983.4
Johnson's Bar,Jim Beam,B,intermittent-stable,5,99%,2.326,77.6,161.8,388.2,841.6,1229.8,1229.8
Smith's Bar,Budweiser,C,intermittent-seasonal,2,90%,1.282,46.3,146.5,92.7,265.6,358.3,358.3
Smith's Bar,Budweiser,C,intermittent-seasonal,2,95%,1.645,46.3,146.5,92.7,340.8,433.5,433.5
Smith's Bar,Budweiser,C,intermittent-seasonal,2,99%,2.326,46.3,146.5,92.7,481.9,574.6,574.6
Smith's Bar,Budweiser,C,intermittent-seasonal,3,90%,1.282,46.3,146.5,139.0,325.3,464.4,464.4
Smith's Bar,Budweiser,C,intermittent-seasonal,3,95%,1.645,46.3,146.5,139.0,417.4,556.5,556.5
