stockout_days,stockout_rate_pct,lost_volume_ml,avg_holding_ml,turnover_ratio,n_orders_placed,n_days_simulated,Bar Name,Brand Name,abc_class,series_class,policy
6,8.108108108108109,1095.1754271669197,258.6108102625723,10.10891451203745,11,74,Anderson's Bar,Absolut,C,intermittent-stable,Holt-Winters (95% SL)
4,5.405405405405405,821.5574492870535,354.3723684519888,10.962458974109511,11,74,Anderson's Bar,Bacardi,A,intermittent-stable,Holt-Winters (95% SL)
4,5.405405405405405,288.1972972125116,322.36894450278476,12.14910049362294,13,74,Anderson's Bar,Barefoot,A,intermittent-stable,Holt-Winters (95% SL)
0,0.0,0.0,164.0800272823544,0.0,0,74,Anderson's Bar,Budweiser,C,intermittent-volatile,Holt-Winters (95% SL)
8,10.81081081081081,974.3469603780915,305.69853652888935,13.778028143173236,17,74,Anderson's Bar,Captain Morgan,A,intermittent-seasonal,Holt-Winters (95% SL)
4,5.405405405405405,909.4768759940371,346.57668045219634,8.218623134971262,9,74,Anderson's Bar,Coors,A,intermittent-seasonal,Holt-Winters (95% SL)
3,4.054054054054054,313.07873742195176,324.09253183591505,10.518234540202032,11,74,Anderson's Bar,Grey Goose,A,intermittent-stable,Holt-Winters (95% SL)
4,5.405405405405405,523.488877154773,313.1613162716354,7.615822896773431,7,74,Anderson's Bar,Heineken,B,intermittent-seasonal,Holt-Winters (95% SL)
6,8.108108108108109,1736.590151068299,369.9687395520747,10.731690071271148,12,74,Anderson's Bar,Jack Daniels,A,intermittent-volatile,Holt-Winters (95% SL)
3,4.054054054054054,481.900967155365,302.2203924995553,10.705793232828904,12,74,Anderson's Bar,Jameson,A,intermittent-seasonal,Holt-Winters (95% SL)
7,9.45945945945946,1504.4099061867994,353.00875057103434,15.601936453144459,17,74,Anderson's Bar,Jim Beam,A,intermittent-stable,Holt-Winters (95% SL)
3,4.054054054054054,689.5423332064531,259.5908198781161,3.2296891977427937,3,74,Anderson's Bar,Malibu,C,intermittent-stable,Holt-Winters (95% SL)
2,2.7027027027027026,446.5120875281563,336.7847165411173,4.770905072456508,7,74,Anderson's Bar,Miller,A,intermittent-volatile,Holt-Winters (95% SL)
6,8.108108108108109,1048.139942675606,378.5548740057817,11.431367958713173,12,74,Anderson's Bar,Smirnoff,A,intermittent-volatile,Holt-Winters (95% SL)
6,8.108108108108109,1129.3222352633916,378.97450843097266,10.561496025967248,9,74,Anderson's Bar,Sutter Home,A,intermittent-volatile,Holt-Winters (95% SL)
5,6.756756756756757,985.8181241517768,298.6667442655062,11.118786874028785,14,74,Anderson's Bar,Yellow Tail,A,intermittent-volatile,Holt-Winters (95% SL)
2,2.7027027027027026,484.8158838094958,259.5060804118532,8.978264064151317,10,74,Brown's Bar,Absolut,A,intermittent-stable,Holt-Winters (95% SL)
5,6.756756756756757,943.6664757928404,285.4479003406888,14.33373137207812,15,74,Brown's Bar,Bacardi,A,intermittent-stable,Holt-Winters (95% SL)
6,8.108108108108109,1203.333034117507,325.47468896981644,8.817972835204555,10,74,Brown's Bar,Barefoot,A,intermittent-seasonal,Holt-Winters (95% SL)
4,5.405405405405405,687.3760805658386,311.3794696112096,5.984992914790014,7,74,Brown's Bar,Budweiser,B,intermittent-stable,Holt-Winters (95% SL)
2,2.7027027027027026,403.1891343721344,270.2597220452355,5.698521607189732,7,74,Brown's Bar,Captain Morgan,B,intermittent-stable,Holt-Winters (95% SL)
5,6.756756756756757,1959.0224586242232,390.59353907195333,7.709619438484989,11,74,Brown's Bar,Coors,B,intermittent-seasonal,Holt-Winters (95% SL)
6,8.108108108108109,1789.2567256347018,424.7204155765152,10.864566677591208,15,74,Brown's Bar,Grey Goose,A,intermittent-volatile,Holt-Winters (95% SL)
3,4.054054054054054,380.9953734888647,318.53446271722424,7.672873464498056,7,74,Brown's Bar,Heineken,A,intermittent-stable,Holt-Winters (95% SL)
3,4.054054054054054,810.3132635187628,230.28417622110896,2.176470588235294,3,74,Brown's Bar,Jack Daniels,A,intermittent-stable,Holt-Winters (95% SL)
6,8.108108108108109,1193.1684106968246,356.2145236996956,14.999505168429328,15,74,Brown's Bar,Jameson,A,intermittent-volatile,Holt-Winters (95% SL)
5,6.756756756756757,1251.2483445219534,363.6433872960774,12.250770428147153,14,74,Brown's Bar,Jim Beam,A,intermittent-stable,Holt-Winters (95% SL)
6,8.108108108108109,1272.8567543963172,305.91917496275937,13.873773182476553,14,74,Brown's Bar,Malibu,A,intermittent-volatile,Holt-Winters (95% SL)
1,1.3513513513513513,134.1258573269825,347.77127202411134,4.138134050857547,7,74,Brown's Bar,Miller,B,intermittent-seasonal,Holt-Winters (95% SL)
7,9.45945945945946,1386.070743973115,305.57839487996273,11.55385758673737,13,74,Brown's Bar,Smirnoff,B,intermittent-seasonal,Holt-Winters (95% SL)
6,8.108108108108109,1025.7056879849151,261.0248221112678,9.812454966153659,12,74,Brown's Bar,Sutter Home,A,intermittent-volatile,Holt-Winters (95% SL)
6,8.108108108108109,1599.7441125073858,450.1032602180475,8.814568207238977,12,74,Brown's Bar,Yellow Tail,A,intermittent-volatile,Holt-Winters (95% SL)
6,8.108108108108109,996.5040944599356,349.4397795320643,10.160422806740804,12,74,Johnson's Bar,Absolut,A,intermittent-seasonal,Holt-Winters (95% SL)
7,9.45945945945946,921.8938877172643,273.8757043910308,14.31005397502169,12,74,Johnson's Bar,Bacardi,A,intermittent-stable,Holt-Winters (95% SL)
3,4.054054054054054,469.0142275827284,335.06096940145335,4.223069535508644,6,74,Johnson's Bar,Barefoot,A,intermittent-seasonal,Holt-Winters (95% SL)
5,6.756756756756757,610.8596751368328,334.00817615377144,7.1001265662771385,7,74,Johnson's Bar,Budweiser,A,intermittent-seasonal,Holt-Winters (95% SL)
4,5.405405405405405,763.2037294214008,316.9555296739142,13.687239579135325,16,74,Johnson's Bar,Captain Morgan,A,intermittent-stable,Holt-Winters (95% SL)
5,6.756756756756757,1174.3191039400313,315.1800525531015,9.65413537884768,11,74,Johnson's Bar,Coors,A,intermittent-volatile,Holt-Winters (95% SL)
4,5.405405405405405,1519.9895887316472,371.9473511232972,13.448436710630583,13,74,Johnson's Bar,Grey Goose,A,intermittent-volatile,Holt-Winters (95% SL)
7,9.45945945945946,625.1596099879586,276.7748468545139,18.059337569209905,15,74,Johnson's Bar,Heineken,A,intermittent-volatile,Holt-Winters (95% SL)
5,6.756756756756757,429.4450799760327,300.6661899497678,11.32273941607047,10,74,Johnson's Bar,Jack Daniels,A,intermittent-volatile,Holt-Winters (95% SL)
4,5.405405405405405,706.0182424150427,270.6395686622623,10.046689665612433,13,74,Johnson's Bar,Jameson,B,intermittent-volatile,Holt-Winters (95% SL)
8,10.81081081081081,1890.7747427116392,303.10843291895486,11.052134792251335,13,74,Johnson's Bar,Jim Beam,B,intermittent-stable,Holt-Winters (95% SL)
6,8.108108108108109,1146.9893687414415,336.47202411496835,15.312270447477474,15,74,Johnson's Bar,Malibu,A,intermittent-seasonal,Holt-Winters (95% SL)
7,9.45945945945946,897.3529409157418,273.64574725938166,13.698137451890357,12,74,Johnson's Bar,Miller,B,intermittent-volatile,Holt-Winters (95% SL)
3,4.054054054054054,560.4610133170384,335.2135884759553,7.775785577588327,8,74,Johnson's Bar,Smirnoff,A,intermittent-stable,Holt-Winters (95% SL)
6,8.108108108108109,805.3949891942092,330.2969955066184,10.846314255177672,11,74,Johnson's Bar,Sutter Home,A,intermittent-stable,Holt-Winters (95% SL)
5,6.756756756756757,754.4903329108937,288.49386583312776,16.037185587042146,16,74,Johnson's Bar,Yellow Tail,A,intermittent-volatile,Holt-Winters (95% SL)
6,8.108108108108109,607.5430709113314,296.81706958194627,15.450751991952192,18,74,Smith's Bar,Absolut,A,intermittent-volatile,Holt-Winters (95% SL)
5,6.756756756756757,1025.4753283959574,274.6961812143603,14.478012231631762,15,74,Smith's Bar,Bacardi,A,intermittent-stable,Holt-Winters (95% SL)
8,10.81081081081081,982.0423577068859,317.6899729018342,10.607283608961705,10,74,Smith's Bar,Barefoot,A,intermittent-stable,Holt-Winters (95% SL)
4,5.405405405405405,712.0385224571701,272.11686353937654,9.763714909048144,9,74,Smith's Bar,Budweiser,C,intermittent-seasonal,Holt-Winters (95% SL)
5,6.756756756756757,483.4583863617406,336.10575430016416,6.614143272456236,6,74,Smith's Bar,Captain Morgan,A,intermittent-volatile,Holt-Winters (95% SL)
4,5.405405405405405,406.29578361526586,256.29858586437007,7.060063208239041,6,74,Smith's Bar,Coors,B,intermittent-stable,Holt-Winters (95% SL)
7,9.45945945945946,1237.4791331322886,349.70559768971617,12.130034219902493,13,74,Smith's Bar,Grey Goose,A,intermittent-seasonal,Holt-Winters (95% SL)
5,6.756756756756757,1301.1707276430648,304.8628881288176,9.93659572980535,11,74,Smith's Bar,Heineken,B,intermittent-stable,Holt-Winters (95% SL)
4,5.405405405405405,872.3802102734245,316.7934969920154,4.713322097530965,6,74,Smith's Bar,Jack Daniels,A,intermittent-stable,Holt-Winters (95% SL)
9,12.162162162162163,1163.5747910120028,305.19912545794557,12.627183001279686,12,74,Smith's Bar,Jameson,A,intermittent-volatile,Holt-Winters (95% SL)
4,5.405405405405405,645.52241585229,333.5426710342394,7.619917344509149,10,74,Smith's Bar,Jim Beam,A,intermittent-stable,Holt-Winters (95% SL)
7,9.45945945945946,1509.7148721151825,360.94735823028174,8.087176873095407,13,74,Smith's Bar,Malibu,A,intermittent-volatile,Holt-Winters (95% SL)
4,5.405405405405405,684.8757566142222,320.69683476323723,5.9928382043578905,8,74,Smith's Bar,Miller,A,intermittent-stable,Holt-Winters (95% SL)
7,9.45945945945946,1419.1140896268587,272.3221839295093,11.71904493538883,10,74,Smith's Bar,Smirnoff,B,intermittent-volatile,Holt-Winters (95% SL)
10,13.513513513513514,1496.595963615478,279.9962192892333,18.41054871908673,20,74,Smith's Bar,Sutter Home,A,intermittent-stable,Holt-Winters (95% SL)
6,8.108108108108109,1121.2025213516756,353.86825566282477,11.269412881295834,11,74,Smith's Bar,Yellow Tail,A,intermittent-stable,Holt-Winters (95% SL)
5,6.756756756756757,1027.7115902470368,361.67561546821,7.7592414023268015,8,74,Taylor's Bar,Absolut,A,intermittent-stable,Holt-Winters (95% SL)
3,4.054054054054054,1407.654042389149,377.29246701039085,2.176470588235294,3,74,Taylor's Bar,Bacardi,B,intermittent-volatile,Holt-Winters (95% SL)
5,6.756756756756757,951.5091120853097,335.58410490104995,11.239897339675487,12,74,Taylor's Bar,Barefoot,A,intermittent-volatile,Holt-Winters (95% SL)
2,2.7027027027027026,320.9634300222989,345.7360803948586,5.318237448280635,6,74,Taylor's Bar,Budweiser,A,intermittent-stable,Holt-Winters (95% SL)
4,5.405405405405405,1234.5980943476602,351.1491188132372,10.202764904438897,11,74,Taylor's Bar,Captain Morgan,A,intermittent-volatile,Holt-Winters (95% SL)
