Bar Name,Brand Name,abc_class,series_class,lead_time_days,service_level,z_score,avg_forecast_demand_per_day_ml,forecast_rmse_ml,lead_time_demand_ml,safety_stock_ml,par_level_ml,reorder_point_ml
Anderson's Bar,Absolut,C,intermittent-stable,2,90%,1.282,58.8,137.7,117.6,249.7,367.3,367.3
Anderson's Bar,Absolut,C,intermittent-stable,2,95%,1.645,58.8,137.7,117.6,320.4,438.0,438.0
Anderson's Bar,Absolut,C,intermittent-stable,2,99%,2.326,58.8,137.7,117.6,453.0,570.6,570.6
Anderson's Bar,Absolut,C,intermittent-stable,3,90%,1.282,58.8,137.7,176.4,305.8,482.2,482.2
Anderson's Bar,Absolut,C,intermittent-stable,3,95%,1.645,58.8,137.7,176.4,392.4,568.8,568.8
Anderson's Bar,Absolut,C,intermittent-stable,3,99%,2.326,58.8,137.7,176.4,554.8,731.2,731.2
Anderson's Bar,Absolut,C,intermittent-stable,5,90%,1.282,58.8,137.7,294.0,394.8,688.8,688.8
Anderson's Bar,Absolut,C,intermittent-stable,5,95%,1.645,58.8,137.7,294.0,506.6,800.6,800.6
Anderson's Bar,Absolut,C,intermittent-stable,5,99%,2.326,58.8,137.7,294.0,716.3,1010.3,1010.3
Anderson's Bar,Bacardi,A,intermittent-stable,2,90%,1.282,51.2,153.1,102.4,277.5,379.9,379.9
Anderson's Bar,Bacardi,A,intermittent-stable,2,95%,1.645,51.2,153.1,102.4,356.1,458.5,458.5
Anderson's Bar,Bacardi,A,intermittent-stable,2,99%,2.326,51.2,153.1,102.4,503.5,605.9,605.9
Anderson's Bar,Bacardi,A,intermittent-stable,3,90%,1.282,51.2,153.1,153.6,339.9,493.4,493.4
Anderson's Bar,Bacardi,A,intermittent-stable,3,95%,1.645,51.2,153.1,153.6,436.1,589.7,589.7
Anderson's Bar,Bacardi,A,intermittent-stable,3,99%,2.326,51.2,153.1,153.6,616.6,770.2,770.2
Anderson's Bar,Bacardi,A,intermittent-stable,5,90%,1.282,51.2,153.1,256.0,438.8,694.7,694.7
Anderson's Bar,Bacardi,A,intermittent-stable,5,95%,1.645,51.2,153.1,256.0,563.0,819.0,819.0
Anderson's Bar,Bacardi,A,intermittent-stable,5,99%,2.326,51.2,153.1,256.0,796.1,1052.0,1052.0
Anderson's Bar,Barefoot,A,intermittent-stable,2,90%,1.282,60.5,148.3,121.0,268.8,389.8,389.8
Anderson's Bar,Barefoot,A,intermittent-stable,2,95%,1.645,60.5,148.3,121.0,344.9,465.9,465.9
Anderson's Bar,Barefoot,A,intermittent-stable,2,99%,2.326,60.5,148.3,121.0,487.7,608.7,608.7
Anderson's Bar,Barefoot,A,intermittent-stable,3,90%,1.282,60.5,148.3,181.6,329.2,510.8,510.8
Anderson's Bar,Barefoot,A,intermittent-stable,3,95%,1.645,60.5,148.3,181.6,422.4,604.0,604.0
Anderson's Bar,Barefoot,A,intermittent-stable,3,99%,2.326,60.5,148.3,181.6,597.3,778.8,778.8
Anderson's Bar,Barefoot,A,intermittent-stable,5,90%,1.282,60.5,148.3,302.6,425.0,727.6,727.6
Anderson's Bar,Barefoot,A,intermittent-stable,5,95%,1.645,60.5,148.3,302.6,545.3,847.9,847.9
Anderson's Bar,Barefoot,A,intermittent-stable,5,99%,2.326,60.5,148.3,302.6,771.1,1073.7,1073.7
Anderson's Bar,Budweiser,C,intermittent-volatile,2,90%,1.282,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,2,95%,1.645,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,2,99%,2.326,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,3,90%,1.282,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,3,95%,1.645,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,3,99%,2.326,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,5,90%,1.282,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,5,95%,1.645,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Budweiser,C,intermittent-volatile,5,99%,2.326,0.0,0.0,0.0,0.0,0.0,0.0
Anderson's Bar,Captain Morgan,A,intermittent-seasonal,2,90%,1.282,78.2,151.9,156.4,275.4,431.9,431.9
Anderson's Bar,Captain Morgan,A,intermittent-seasonal,2,95%,1.645,78.2,151.9,156.4,353.4,509.8,509.8
Anderson's Bar,Captain Morgan,A,intermittent-seasonal,2,99%,2.326,78.2,151.9,156.4,499.7,656.1,656.1
Anderson's Bar,Captain Morgan,A,intermittent-seasonal,3,90%,1.282,78.2,151.9,234.7,337.3,572.0,572.0
Anderson's Bar,Captain Morgan,A,intermittent-seasonal,3,95%,1.645,78.2,151.9,234.7,432.8,667.5,667.5
