stockout_days,stockout_rate_pct,lost_volume_ml,avg_holding_ml,turnover_ratio,n_orders_placed,n_days_simulated,Bar Name,Brand Name,abc_class,series_class,policy
7,9.45945945945946,1503.8310810810815,233.25614317019716,9.455780623576421,6,74,Anderson's Bar,Absolut,C,intermittent-stable,Naive (fixed qty)
4,5.405405405405405,1017.5891891891891,342.7986760409058,10.760720704681589,8,74,Anderson's Bar,Bacardi,A,intermittent-stable,Naive (fixed qty)
6,8.108108108108109,1079.9040540540545,255.0959459459459,12.249453570728557,7,74,Anderson's Bar,Barefoot,A,intermittent-stable,Naive (fixed qty)
0,0.0,0.0,0.0,,0,74,Anderson's Bar,Budweiser,C,intermittent-volatile,Naive (fixed qty)
7,9.45945945945946,1121.3556756756752,273.68985025566116,14.852265513416658,8,74,Anderson's Bar,Captain Morgan,A,intermittent-seasonal,Naive (fixed qty)
5,6.756756756756757,1202.3967567567568,317.3482943754565,8.052550741677727,6,74,Anderson's Bar,Coors,A,intermittent-seasonal,Naive (fixed qty)
6,8.108108108108109,653.8127027027026,226.1928853177502,13.564296211117513,8,74,Anderson's Bar,Grey Goose,A,intermittent-stable,Naive (fixed qty)
6,8.108108108108109,1179.1094594594592,221.89589298758216,7.793567142035028,6,74,Anderson's Bar,Heineken,B,intermittent-seasonal,Naive (fixed qty)
6,8.108108108108109,1576.1910810810812,395.93416362308255,10.433019674582326,7,74,Anderson's Bar,Jack Daniels,A,intermittent-volatile,Naive (fixed qty)
6,8.108108108108109,1507.0581081081082,203.5700639152666,10.857941729644109,6,74,Anderson's Bar,Jameson,A,intermittent-seasonal,Naive (fixed qty)
7,9.45945945945946,1496.00472972973,375.70253834916,14.681895135730862,8,74,Anderson's Bar,Jim Beam,A,intermittent-stable,Naive (fixed qty)
4,5.405405405405405,1053.0397297297297,67.72058071585099,7.012643206101642,2,74,Anderson's Bar,Malibu,C,intermittent-stable,Naive (fixed qty)
3,4.054054054054054,1192.1491891891892,152.54284149013876,5.645173528949108,4,74,Anderson's Bar,Miller,A,intermittent-volatile,Naive (fixed qty)
6,8.108108108108109,1162.278918918919,363.8307487216946,11.580277631520188,8,74,Anderson's Bar,Smirnoff,A,intermittent-volatile,Naive (fixed qty)
5,6.756756756756757,1595.0375675675673,301.76649379108846,11.720394759535361,7,74,Anderson's Bar,Sutter Home,A,intermittent-volatile,Naive (fixed qty)
8,10.81081081081081,1373.381081081081,256.25880752373996,11.446431626148811,7,74,Anderson's Bar,Yellow Tail,A,intermittent-volatile,Naive (fixed qty)
5,6.756756756756757,731.3332432432433,171.76752008765516,12.129165954620362,7,74,Brown's Bar,Absolut,A,intermittent-stable,Naive (fixed qty)
7,9.45945945945946,1088.6918918918918,296.23143900657413,13.32238104551936,8,74,Brown's Bar,Bacardi,A,intermittent-stable,Naive (fixed qty)
7,9.45945945945946,1651.3621621621621,314.37149013878746,7.704254087317474,6,74,Brown's Bar,Barefoot,A,intermittent-seasonal,Naive (fixed qty)
5,6.756756756756757,1516.7989189189188,181.10666544923305,5.7103424576660755,4,74,Brown's Bar,Budweiser,B,intermittent-stable,Naive (fixed qty)
5,6.756756756756757,971.635,139.24946311176038,6.977657064431007,5,74,Brown's Bar,Captain Morgan,B,intermittent-stable,Naive (fixed qty)
5,6.756756756756757,2015.0067567567567,292.66487764791816,10.098045474382417,6,74,Brown's Bar,Coors,B,intermittent-seasonal,Naive (fixed qty)
6,8.108108108108109,2102.57,360.89191380569747,11.917945056302052,7,74,Brown's Bar,Grey Goose,A,intermittent-volatile,Naive (fixed qty)
6,8.108108108108109,1033.6686486486487,195.82367056245434,9.14803274908493,6,74,Brown's Bar,Heineken,A,intermittent-stable,Naive (fixed qty)
4,5.405405405405405,1027.948108108108,128.37376186997804,2.208955223880598,2,74,Brown's Bar,Jack Daniels,A,intermittent-stable,Naive (fixed qty)
6,8.108108108108109,1413.2345945945942,380.8676205259314,13.45080319070234,8,74,Brown's Bar,Jameson,A,intermittent-volatile,Naive (fixed qty)
8,10.81081081081081,1773.5362162162166,299.7150730460189,13.121207898609622,7,74,Brown's Bar,Jim Beam,A,intermittent-stable,Naive (fixed qty)
6,8.108108108108109,1298.4874324324326,331.15951607012414,12.738944112583678,7,74,Brown's Bar,Malibu,A,intermittent-volatile,Naive (fixed qty)
5,6.756756756756757,650.5949999999999,117.59939554419287,7.845746108901333,6,74,Brown's Bar,Miller,B,intermittent-seasonal,Naive (fixed qty)
